appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories 1,categories 2,positive_ratio,ratings,owners_average,MutualPlayerCount
233370,The Raven - Legacy of a Master Thief,KING Art,THQ Nordic,,604,195,"200,000 .. 500,000",344,0,663,0,2,Adventure,,0,Single-player, Steam Achievements,0.755944931,0.778185942,350000,8
736810,The Raven Remastered,KING Art,THQ Nordic,,268,57,"20,000 .. 50,000",0,0,0,0,2,Adventure,USD,19.99,Single-player, Steam Achievements,0.824615385,0.779290942,35000,3
240660,Rain Blood Chronicles: Mirage,,Origo Games,,113,48,"0 .. 20,000",0,0,0,0,0,,USD,4.99,Single-player, Multi-player,0.701863354,0.778371331,10000,1
237970,Memento Mori 2,Centauri Production,Bohemia Interactive,,90,35,"0 .. 20,000",1636,0,3221,0,0,"Adventure, Indie",USD,24.99,Single-player, Steam Achievements,0.72,0.77854133,10000,2
273860,Snowcat Simulator,United Independent Entertainment,United Independent Entertainment,,12,31,"20,000 .. 50,000",0,0,0,0,0,Simulation,USD,3.99,Single-player, Multi-player,0.279069767,0.77806062,35000,3
300910,Monster Challenge Circus,Freegamer,Strategy First,,7,25,"0 .. 20,000",0,0,0,0,0,Action,USD,4.99,Single-player, Family Sharing,0.21875,0.77818148,10000,2
305500,Trapped Dead: Lockdown,Bigmoon Studios,Headup Publishing,,100,82,"50,000 .. 100,000",0,0,0,0,1,"Action, Indie, RPG",USD,0.99,Single-player, Steam Achievements,0.549450549,0.77737974,75000,6
311170,Moonlight Minions,Shorebound Studios,Shorebound Studios,,22,25,"0 .. 20,000",0,0,0,0,0,"Casual, Indie",USD,0.99,Single-player, Steam Achievements,0.468085106,0.778294423,10000,3
312010,Bird Assassin,Social Loner Studios,Social Loner Studios,,299,38,"0 .. 20,000",0,0,0,0,1,"Action, Adventure, Indie",USD,1.99,Single-player, Partial Controller Support,0.887240356,0.780018631,10000,2
315550,Taxi,Excalibur,Excalibur Publishing,,173,189,"50,000 .. 100,000",36,0,55,0,1,"Indie, Simulation",USD,4.99,Single-player, Family Sharing,0.477900552,0.775131912,75000,4
